Name,Cmpg,Hmpg,Eng,Cyl,Vol,Drive,Class
Mercedes C 300 4matic 3.5L,17,24,3.5,6,1.00,4,CO
Mercedes C 300 4matic FFV 3L,18,25,3.0,6,1.00,4,CO
Mercedes C 300 FFV 3L,18,26,3.0,6,1.00,R,CO
Mercedes C 350 3.5L,17,25,3.5,6,1.00,R,CO
Mercedes C 63 AMG 6.2L,13,19,6.2,8,1.00,R,CO
Mercedes CLS 550 4.7L,14,21,4.7,8,1.06,R,CO
Mercedes CLS 63 AMG 6.3L,12,18,6.3,8,1.06,R,CO
Mercedes E 350 3.5L,17,24,3.5,6,1.11,R,MI
Mercedes E 350 4matic 3.5L,17,24,3.5,6,1.11,4,MI
Mercedes E 350 4matic Wagon 3.5L,16,23,3.5,6,1.36,4,SW
Mercedes E 350 Convertible 3.5L,17,25,3.5,6,0.86,R,SC
Mercedes E 350 Coupe 3.5L,17,26,3.5,6,0.92,R,SC
Mercedes E 550 4.7L,15,23,4.7,8,1.11,R,MI
Mercedes E 550 4matic 5.5L,15,23,5.5,8,1.11,4,MI
Mercedes E 550 Convertible 5.5L,15,22,5.5,8,0.86,R,SC
Mercedes E 550 Coupe 5.5L,15,23,5.5,8,0.92,R,SC
Mercedes E 63 AMG 6.2L,13,20,6.2,8,1.11,R,MI
Mercedes G 550 5.5L,11,15,5.5,8,1.73,4,SU
Mercedes GL 450 4matic 4.7L,13,18,4.7,8,1.59,4,SU
Mercedes GL 550 4matic 5.5L,12,17,5.5,8,1.59,4,SU
Mercedes GLK 350 3.5L,16,23,3.5,6,1.26,R,SU
Mercedes GLK 350 4matic 3.5L,16,21,3.5,6,1.26,4,SU
Mercedes ML 350 3.5L,16,20,3.5,6,1.48,R,SU
Mercedes ML 350 4matic 3.5L,15,20,3.5,6,1.48,R,SU
Mercedes ML 550 4matic 5.5L,13,18,5.5,8,1.48,4,SU
Mercedes ML 63 AMG 6.3L,11,15,6.3,8,1.48,4,SU
Mercedes R 350 4matic 3.5L,15,19,3.5,6,1.62,R,SU
Mercedes S 550 4matic 5.5L,14,21,5.5,8,1.25,4,LA
Mercedes S 550 5.5L,15,23,5.5,8,1.25,R,LA
Mini Cooper 1.6L,28,36,1.6,4,0.82,F,MC
Mini Cooper Countryman 1.6L,25,30,1.6,4,1.03,F,CO
Mini Cooper S 1.6L,26,34,1.6,4,0.82,F,MC
Mini Cooper S Clubman 1.6L,26,34,1.6,4,0.97,F,SC
Mini Cooper S Convertible 1.6L,26,34,1.6,4,0.80,F,MC
Mini Cooper S Countryman 1.6L,25,32,1.6,4,1.03,F,CO
Mini Cooper S Countryman All4 1.6L,23,30,1.6,4,1.03,A,CO
Mini Mini Clubman 1.6L,27,36,1.6,4,0.97,F,SC
Mini Mini Convertible 1.6L,27,36,1.6,4,0.80,F,MC
Mitsubishi Eclipse 2.4L,20,28,2.4,4,0.98,F,SC
Mitsubishi Eclipse 3.8L,17,25,3.8,6,0.98,F,SC
Mitsubishi Eclipse Spyder 2.4L,20,27,2.4,4,0.81,F,MC
Mitsubishi Eclipse Spyder 3.8L,16,24,3.8,6,0.81,F,MC
Mitsubishi Galant 2.4L,21,30,2.4,4,1.14,F,MI
Mitsubishi Lancer 2.4L,23,30,2.4,4,1.05,F,CO
